UserId,MprId,CustomerId,ExternalPlanRequestId,PlanRequestType,WorkType,ExecutionMethod,AnnouncerIdentification,StartDate,EndDate,WorkDescription,Location,CenterLong,CenterLat,Status,Archived,CreatedAt,IntersectedAt
e5e95578-8b72-4b47-b13c-f632d3610989,a3893796-4394-48c4-a1e9-2a2fc3da2185,xew-fzx-tri,1584628,2,4,2,njz-fjyh-hpt,10/2/2017,15/6/2017,Nhdpqrcjpoiapgyioftqevlj,Kraskino,45,77,1,true,5/9/2017,18/6/2017
03202fe4-e4d7-40c6-81a7-f1cfec8cd088,5f7f1b6b-b574-408e-b830-293936a95a18,koa-wrt-xgf,3392535,6,18,2,jmn-eata-wih,29/11/2016,23/1/2018,Bhaknzwnvnjnbypywotwwhtj,Caibiran,92,12,6,false,25/2/2017,9/9/2017
12b89ed8-2a90-4a4b-ae9b-840e407da4e5,f31c2edb-0e64-41a3-a8d9-dcbae7525965,lha-efd-nzt,0877334,5,2,4,vsn-tqnd-zcb,15/1/2018,2/10/2017,Okapqbfpzosormfznfqdivbp,Nart,40,80,2,false,5/7/2017,16/12/2017
31fc24ec-081f-45a3-b39d-899ddcd33977,c5fbae89-2689-40de-bb2c-f6f548cde68f,anu-gcb-wxp,9512080,3,16,3,gkr-bren-wtd,21/5/2017,15/5/2017,Iqagyowcukfhkjyzcvjixtdt,Priekulė,45,44,5,false,13/10/2017,20/1/2017
6e2010b4-80f3-4f30-be75-444a84d3b078,01eb83a4-e575-4ca2-8405-dfa6c77ff81e,jxe-gxa-ywf,9846466,1,8,1,vpx-qluc-gjy,24/1/2017,22/9/2017,Accaukwktdcjovkowbtcnmps,Calape,29,35,1,true,29/7/2017,5/11/2016
b2c0a048-e76f-491f-85d4-941fd2d575b8,4aac205d-59e4-4f84-883a-0a428a0095ad,uxj-yrg-biz,9815009,4,8,3,cop-qtkh-kie,5/12/2016,13/3/2017,Gdbjzdyxnqfnszfqnssljmqf,Palma De Mallorca,87,15,1,false,16/6/2017,28/9/2017
a13229e6-274b-4c44-a12e-a677a3561691,9396ad58-3377-4991-9d26-7269ae1e73d8,yld-lpa-hjh,6859103,4,2,3,btf-thpe-doe,19/3/2017,6/3/2017,Dglhtbbgexotgwhixmmmvjye,Tarumizu,39,24,5,false,15/1/2018,14/10/2017
b8bd4a7f-7268-445e-b897-c5739c02b193,3cc62725-1ed3-4858-b213-9bf1615f0fb6,ded-soh-bgo,6099612,5,13,5,asq-yebv-kjr,29/3/2017,19/4/2017,Psnojmvbevoapkwspkfkjhwk,Yantai,18,34,4,true,3/2/2017,12/8/2017
10cf95d4-812e-4ef9-a8a5-abcc57e9bbe9,467dd0b7-118e-4bf3-a78d-fec20b2ef075,jok-dfh-aps,7335484,2,18,1,sdu-rype-ovw,1/11/2016,3/1/2018,Gigcyyfmtqwrhyirolqkyoxy,Tecpán Guatemala,96,02,5,false,26/2/2017,26/5/2017
5230d049-42ae-4360-85f2-11fdec8c6873,a97f0d78-90de-42c8-a2bb-9a106bc23327,wcl-gsd-yrw,4828944,2,3,4,nzi-lhrz-yke,4/1/2017,22/9/2017,Pxbzakqkxiegpqurlqgmsotg,Karano,36,79,4,false,3/9/2017,27/2/2017
